game_num,Site,Date,White,Black,Result,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,My ELO,Opponent Elo,TimeControl,Termination,StartTime,EndDate,EndTime,Full Opening Name,Main Opening Name,Variation Opening Name,Win-Loss-Draw,Total Moves,White Accuracy,Black Accuracay,Black Total Blunders,Black Total Mistakes,White Total Blundres,White Total Mistakes,Black First Blunder,Black First Mistake,White First Blunder,White First Mistake
104,Chess.com,2025.04.10,FreakWhenSee,cengcest,1-0,C20,https://www.chess.com/openings/Bishops-Opening-Boi-Variation-3.Nc3,2025.04.10,3:05:54,1563,1544,1563,1544,600,FreakWhenSee won by checkmate,3:05:54,2025.04.10,3:21:41,Bishop's Opening: Boi Variation,Bishop's Opening,Boi Variation,Win,63,55.92,68.04,2,12,2,6,39,4,34,4
105,Chess.com,2025.04.11,Orgnics,FreakWhenSee,1-0,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Variation-4...Bg7-5.Bc4-O-O-6.Qe2,2025.04.11,0:59:01,1557,1555,1555,1557,600,Orgnics won by resignation,0:59:01,2025.04.11,1:07:26,Pirc Defense: Classical Variation,Pirc Defense,Classical Variation,Loss,25,75.86,78.31,1,3,0,8,24,12,0,10
106,Chess.com,2025.04.11,ELITEROOK2,FreakWhenSee,1-0,B07,https://www.chess.com/openings/Pirc-Defense-2.Nc3-Nf6,2025.04.11,1:11:47,1568,1547,1547,1568,600,ELITEROOK2 won by resignation,1:11:47,2025.04.11,1:23:09,Pirc Defense,Pirc Defense,Main Line,Loss,35,92.12,78.92,2,10,3,7,8,9,9,6
107,Chess.com,2025.04.11,FreakWhenSee,yizmaster,0-1,C00,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation,2025.04.11,1:24:46,1540,1579,1540,1579,600,yizmaster won by resignation,1:24:46,2025.04.11,1:36:16,French Defense: Queen's Knight Variation,French Defense,Queen's Knight Variation,Loss,53,89.1,81.23,0,7,0,9,0,17,0,16
108,Chess.com,2025.04.11,FreakWhenSee,Irek_SPb,1-0,C23,https://www.chess.com/openings/Vienna-Game-Max-Lange-Meitner-Mieses-Gambit,2025.04.11,1:37:51,1549,1565,1549,1565,600,FreakWhenSee won by checkmate,1:37:51,2025.04.11,1:47:08,"Vienna Game: Max Lange, Meitner-Mieses Gambit",Vienna Game,"Max Lange, Meitner-Mieses Gambit",Win,44,77.35,100,2,3,1,3,23,5,16,18
109,Chess.com,2025.04.11,TurkeyChan,FreakWhenSee,0-1,A45,https://www.chess.com/openings/Indian-Game-2.Bf4-d6-3.Nc3,2025.04.11,3:02:25,1586,1558,1558,1586,600,FreakWhenSee won by resignation,3:02:25,2025.04.11,3:08:09,Indian Game,Indian Game,Main Line,Win,19,77.79,92.34,0,0,0,2,0,0,0,15
110,Chess.com,2025.04.11,FreakWhenSee,soehtet12,0-1,C27,https://www.chess.com/openings/Vienna-Game-Frankenstein-Dracula-Variation,2025.04.11,3:09:00,1549,1544,1549,1544,600,soehtet12 won by checkmate,3:09:00,2025.04.11,3:15:55,Vienna Game: Frankenstein-Dracula Variation,Vienna Game,Frankenstein-Dracula Variation,Loss,15,74.67,89.61,1,0,2,2,13,0,13,9
111,Chess.com,2025.04.11,tsaraiva,FreakWhenSee,0-1,B07,https://www.chess.com/openings/Pirc-Defense-2.Bc4-Nf6,2025.04.11,3:16:48,1545,1557,1557,1545,600,FreakWhenSee won by checkmate,3:16:48,2025.04.11,3:35:45,Pirc Defense,Pirc Defense,Main Line,Win,70,90.24,84.9,1,4,4,2,18,21,19,43
112,Chess.com,2025.04.12,FreakWhenSee,ciprianovasquez,1-0,B06,https://www.chess.com/openings/Modern-Defense-Standard-Line,2025.04.12,0:58:21,1565,1553,1565,1553,600,FreakWhenSee won by resignation,0:58:21,2025.04.12,1:02:30,Modern Defense: Standard Line,Modern Defense,Standard Line,Win,26,62.31,78.1,2,7,2,5,19,10,17,12
113,Chess.com,2025.04.12,Ruth_Miryam,FreakWhenSee,0-1,A05,https://www.chess.com/openings/Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense...4.O-O-O-O-5.d3-d6-6.c4,2025.04.12,1:03:12,1561,1573,1573,1561,600,FreakWhenSee won by resignation,1:03:12,2025.04.12,1:09:40,"Reti Opening: King's Indian Attack, Symmetrical Defense",Reti Opening,"King's Indian Attack, Symmetrical Defense",Win,22,85.16,67.79,0,0,0,2,0,0,0,21
