Event,Site,Date,Round,White,Black,Result,CurrentPosition,TimeZone,ECO,ECOUrl,UTCDate,UTCTime,WhiteElo,BlackElo,TimeControl,Termination,StartTime,EndDate,EndTime,Link,Full Opening Name,Main Opening Name,Variation Opening Name,Win-Loss-Draw,Total Moves,White Accuracy,Black Accuracay,Black Total Blunders,Black Total Mistakes,White Total Blundres,White Total Mistakes,Black First Blunder,Black First Mistake,White First Blunder,White First Mistake
Live Chess,Chess.com,2025.04.15,-,FreakWhenSee,Saevarms,1-0,q4rk1/p1pn1ppp/8/2b1p3/6b1/3P1N1P/PPP2PP1/R1BQK2R b KQ - 0 11,UTC,C27,https://www.chess.com/openings/Vienna-Game-Frankenstein-Dracula-Variation,2025.04.15,00:08:56,1602,1573,600,FreakWhenSee won by resignation,00:08:56,2025.04.15,00:10:58,https://www.chess.com/game/live/137390416276,Vienna Game: Frankenstein-Dracula Variation,Vienna Game,Frankenstein-Dracula Variation,Win,11,63.61,80.55,1,0,0,1,7,,,7
Live Chess,Chess.com,2025.04.14,-,FreakWhenSee,omioakys,1-0,k2r1r2/pp3Bp1/2p1P3/q7/1P1p1Q1p/P2P2nP/2P2RP1/4R1K1 b - b3 0 26,UTC,C25,https://www.chess.com/openings/Vienna-Game-Max-Lange-Defense-3.Bc4,2025.04.14,23:56:43,1594,1590,600,FreakWhenSee won by resignation,23:56:43,2025.04.15,00:05:23,https://www.chess.com/game/live/137390198748,Vienna Game: Max Lange Defense,Vienna Game,Max Lange Defense,Win,26,83.66,77.98,0,4,0,0,,10,,
Live Chess,Chess.com,2025.04.14,-,FreakWhenSee,Vardy81,1-0,8/p7/6K1/2p4P/2P5/3k4/P7/8 b - - 0 35,UTC,B23,https://www.chess.com/openings/Closed-Sicilian-Defense-Grand-Prix-Attack-3...d6-4.Nf3-Nf6-5.Bb5,2025.04.14,01:03:50,1586,1557,600,FreakWhenSee won by resignation,01:03:50,2025.04.14,01:10:24,https://www.chess.com/game/live/137354954308,Closed Sicilian Defense: Grand Prix Attack,Closed Sicilian Defense,Grand Prix Attack,Win,35,77.74,87.43,3,3,0,5,13,26,,11
Live Chess,Chess.com,2025.04.14,-,adel025,FreakWhenSee,1-0,6k1/ppp2r2/2np3Q/8/6P1/2P4P/PP6/R4RK1 b - - 0 32,UTC,B07,https://www.chess.com/openings/Pirc-Defense,2025.04.14,00:52:09,1528,1578,600,adel025 won by resignation,00:52:09,2025.04.14,01:02:59,https://www.chess.com/game/live/137354764206,Pirc Defense,Pirc Defense,,Loss,32,81.82,67.93,0,7,0,3,,10,,18
Live Chess,Chess.com,2025.04.13,-,detroitpcb,FreakWhenSee,0-1,8/R7/1pB4p/2p1b3/PkP1P2P/6r1/7K/8 b - - 1 50,UTC,A16,https://www.chess.com/openings/Kings-Indian-Defense-Fianchetto-Yugoslav-System-5.Nc3,2025.04.13,23:52:22,1559,1588,600,FreakWhenSee won by resignation,23:52:22,2025.04.14,00:07:10,https://www.chess.com/game/live/137353770784,"King's Indian Defense: Fianchetto, Yugoslav System",King's Indian Defense,"Fianchetto, Yugoslav System",Win,50,69.35,66.07,0,8,1,7,,15,49,25
Live Chess,Chess.com,2025.04.13,-,FreakWhenSee,aguila4,1/2-1/2,2k5/7R/1p1p4/p2P4/2P5/r2PK3/8/8 w - - 8 61,UTC,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4,2025.04.13,17:27:48,1580,1595,600,Game drawn by repetition,17:27:48,2025.04.13,17:44:07,https://www.chess.com/game/live/137343800092,Vienna Game,Vienna Game,,Draw,60,64.15,47.57,0,9,2,8,,7,22,7
Live Chess,Chess.com,2025.04.13,-,RrustamA,FreakWhenSee,1/2-1/2,8/5K2/7k/8/8/8/8/8 w - - 0 63,UTC,A45,https://www.chess.com/openings/Indian-Game-2.Bf4-d6,2025.04.13,16:49:21,1573,1580,600,Game drawn by insufficient material,16:49:21,2025.04.13,17:04:05,https://www.chess.com/game/live/137342564406,Indian Game,Indian Game,,Draw,62,75.04,67.51,4,3,2,3,51,20,40,18
Live Chess,Chess.com,2025.04.13,-,FreakWhenSee,montazerireza,0-1,r6r/pppk2pp/3p4/3Nn3/4q1n1/P7/1PP5/R1BQK1R1 w Q - 0 18,UTC,C25,https://www.chess.com/openings/Vienna-Game-Max-Lange-Defense-3.Bc4,2025.04.13,16:45:39,1580,1590,600,montazerireza won by resignation,16:45:39,2025.04.13,16:48:53,https://www.chess.com/game/live/137342443954,Vienna Game: Max Lange Defense,Vienna Game,Max Lange Defense,Loss,17,91.08,83.12,0,4,2,3,,5,10,5
Live Chess,Chess.com,2025.04.12,-,srinath422,FreakWhenSee,0-1,5rk1/6b1/2p1p1pp/8/1P1p3P/4B2R/2K3P1/5rN1 w - - 2 30,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-Kholmov-System-4...Bg7,2025.04.12,23:50:53,1550,1588,600,FreakWhenSee won by resignation,23:50:53,2025.04.13,00:02:24,https://www.chess.com/game/live/137319001210,"Pirc Defense: Main Line, Kholmov System",Pirc Defense,"Main Line, Kholmov System",Win,29,81.44,89.13,1,5,2,5,18,11,8,9
Live Chess,Chess.com,2025.04.12,-,FreakWhenSee,Tropitrope,1-0,1r2rbk1/pR3Q1p/2p3pP/4P3/8/2P1B2q/P1P2P2/5RK1 b - - 0 24,UTC,B02,https://www.chess.com/openings/Alekhines-Defense-Scandinavian-Variation-3.exd5-Nxd5-4.Nf3,2025.04.12,01:10:35,1581,1554,600,FreakWhenSee won by resignation,01:10:35,2025.04.12,01:17:55,https://www.chess.com/game/live/137285854296,Alekhine's Defense: Scandinavian Variation,Alekhine's Defense,Scandinavian Variation,Win,24,88.36,77.52,1,4,0,3,23,16,,10
Live Chess,Chess.com,2025.04.12,-,Ruth_Miryam,FreakWhenSee,0-1,5rk1/4pp1p/q1pp2p1/8/2P1N3/1Q1P2P1/4rPKP/b4R2 w - - 0 23,UTC,A05,https://www.chess.com/openings/Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense...4.O-O-O-O-5.d3-d6-6.c4,2025.04.12,01:03:12,1561,1573,600,FreakWhenSee won by resignation,01:03:12,2025.04.12,01:09:40,https://www.chess.com/game/live/137285733362,"Réti Opening: King's Indian Attack, Symmetrical Defense",Réti Opening,"King's Indian Attack, Symmetrical Defense",Win,22,85.16,67.79,0,0,0,2,,,,21
Live Chess,Chess.com,2025.04.12,-,FreakWhenSee,ciprianovasquez,1-0,r4rkR/1b2q1b1/p3p1P1/1pp1P3/3p4/5P2/PPP1N2Q/2K4R b - - 2 26,UTC,B06,https://www.chess.com/openings/Modern-Defense-Standard-Line,2025.04.12,00:58:21,1565,1553,600,FreakWhenSee won by resignation,00:58:21,2025.04.12,01:02:30,https://www.chess.com/game/live/137285653392,Modern Defense: Standard Line,Modern Defense,Standard Line,Win,26,62.31,78.1,2,7,2,5,19,10,17,12
Live Chess,Chess.com,2025.04.11,-,tsaraiva,FreakWhenSee,0-1,8/8/7b/8/7k/6p1/6K1/1r5q w - - 0 71,UTC,B07,https://www.chess.com/openings/Pirc-Defense-2.Bc4-Nf6,2025.04.11,03:16:48,1545,1557,600,FreakWhenSee won by checkmate,03:16:48,2025.04.11,03:35:45,https://www.chess.com/game/live/137252070072,Pirc Defense,Pirc Defense,,Win,70,90.24,84.9,1,4,4,2,18,21,19,43
Live Chess,Chess.com,2025.04.11,-,FreakWhenSee,soehtet12,0-1,rn3r1k/ppp3pp/8/8/2B1pp1q/5P1b/PPPPNb1P/R1BQ2KR w - - 4 16,UTC,C27,https://www.chess.com/openings/Vienna-Game-Frankenstein-Dracula-Variation,2025.04.11,03:09:00,1549,1544,600,soehtet12 won by checkmate,03:09:00,2025.04.11,03:15:55,https://www.chess.com/game/live/137251937320,Vienna Game: Frankenstein-Dracula Variation,Vienna Game,Frankenstein-Dracula Variation,Loss,15,74.67,89.61,1,0,2,2,13,,13,9
Live Chess,Chess.com,2025.04.11,-,TurkeyChan,FreakWhenSee,0-1,r4r2/3nppkp/1P1p2p1/2p5/3Pn3/4PN2/2P2PPP/R4RK1 b - - 0 19,UTC,A45,https://www.chess.com/openings/Indian-Game-2.Bf4-d6-3.Nc3,2025.04.11,03:02:25,1586,1558,600,FreakWhenSee won by resignation,03:02:25,2025.04.11,03:08:09,https://www.chess.com/game/live/137251825464,Indian Game,Indian Game,,Win,19,77.79,92.34,0,0,0,2,,,,15
Live Chess,Chess.com,2025.04.11,-,FreakWhenSee,Irek_SPb,1-0,8/8/3R2b1/1k6/PP6/1K6/8/8 b - a3 0 44,UTC,C23,https://www.chess.com/openings/Vienna-Game-Max-Lange-Meitner-Mieses-Gambit,2025.04.11,01:37:51,1549,1565,600,FreakWhenSee won by checkmate,01:37:51,2025.04.11,01:47:08,https://www.chess.com/game/live/137250386666,"Vienna Game: Max Lange, Meitner-Mieses Gambit",Vienna Game,"Max Lange, Meitner-Mieses Gambit",Win,44,77.35,100,2,3,1,3,23,5,16,18
Live Chess,Chess.com,2025.04.11,-,FreakWhenSee,yizmaster,0-1,8/8/8/p3p1p1/P5Pp/7P/3kpK2/8 w - - 2 54,UTC,C00,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation,2025.04.11,01:24:46,1540,1579,600,yizmaster won by resignation,01:24:46,2025.04.11,01:36:16,https://www.chess.com/game/live/137250163160,French Defense: Queen's Knight Variation,French Defense,Queen's Knight Variation,Loss,53,89.1,81.23,0,7,0,9,,17,,16
Live Chess,Chess.com,2025.04.11,-,ELITEROOK2,FreakWhenSee,1-0,Q3kq2/4p1bB/3pp3/1p2P3/pP1P4/2P5/r5P1/3K2NR b - - 0 35,UTC,B07,https://www.chess.com/openings/Pirc-Defense-2.Nc3-Nf6,2025.04.11,01:11:47,1568,1547,600,ELITEROOK2 won by resignation,01:11:47,2025.04.11,01:23:09,https://www.chess.com/game/live/137249942930,Pirc Defense,Pirc Defense,,Loss,35,92.12,78.92,2,10,3,7,8,9,9,6
Live Chess,Chess.com,2025.04.11,-,Orgnics,FreakWhenSee,1-0,4Q1k1/1pp3b1/p2p4/3P1q2/2Bp4/8/PPP2r2/R2K3R b - - 0 25,UTC,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Variation-4...Bg7-5.Bc4-O-O-6.Qe2,2025.04.11,00:59:01,1557,1555,600,Orgnics won by resignation,00:59:01,2025.04.11,01:07:26,https://www.chess.com/game/live/137249726532,Pirc Defense: Classical Variation,Pirc Defense,Classical Variation,Loss,25,75.86,78.31,1,3,0,8,24,12,,10
Live Chess,Chess.com,2025.04.10,-,FreakWhenSee,cengcest,1-0,8/2Q5/k1Q1P1P1/5K2/p7/PP6/1P6/8 b - -,UTC,C20,https://www.chess.com/openings/Bishops-Opening-Boi-Variation-3.Nc3,2025.04.10,03:05:54,1563,1544,600,FreakWhenSee won by checkmate,03:05:54,2025.04.10,03:21:41,https://www.chess.com/game/live/137215836378,Bishop's Opening: Boi Variation,Bishop's Opening,Boi Variation,Win,63,55.92,68.04,2,12,2,6,39,4,34,4
Live Chess,Chess.com,2025.04.10,-,Carlos3748,FreakWhenSee,1-0,1Q6/8/8/8/P7/2k4p/7K/8 b - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Modern-Defense-Geller-System-2...Nf6,2025.04.10,02:49:51,1574,1555,600,Carlos3748 won by resignation,02:49:51,2025.04.10,03:05:10,https://www.chess.com/game/live/137215564464,"Pirc Defense: Modern Defense, Geller System",Pirc Defense,"Modern Defense, Geller System",Loss,49,55.74,64.8,2,4,1,5,23,33,40,10
Live Chess,Chess.com,2025.04.10,-,marayag4,FreakWhenSee,1-0,5k2/3bpp1p/3p2p1/3P4/3N4/7P/1P3PP1/4R1K1 b - -,UTC,B06,https://www.chess.com/openings/Modern-Defense-Standard-Two-Knights-Suttles-Variation-5.Be3-Nf6-6.h3-O-O-7.Bd3,2025.04.10,02:41:30,1600,1563,600,marayag4 won by resignation,02:41:30,2025.04.10,02:49:25,https://www.chess.com/game/live/137215421098,"Modern Defense: Standard, Two Knights, Suttles Variation",Modern Defense,"Standard, Two Knights, Suttles Variation",Loss,24,91.12,84.51,1,2,0,1,20,15,,19
Live Chess,Chess.com,2025.04.10,-,FreakWhenSee,TheLast_Airbender,1-0,rn1B1b1r/pR5p/2p1p1k1/8/3nN1Q1/3P4/P1P2P1P/4K1NR b K -,UTC,B01,https://www.chess.com/openings/Scandinavian-Defense-Mieses-Kotrc-Main-Line,2025.04.10,02:33:19,1570,1569,600,FreakWhenSee won by resignation,02:33:19,2025.04.10,02:39:47,https://www.chess.com/game/live/137215281840,"Scandinavian Defense: Mieses-Kotrč, Main Line",Scandinavian Defense,"Mieses-Kotrč, Main Line",Win,18,80.74,68.33,2,1,0,0,13,8,,
Live Chess,Chess.com,2025.04.10,-,FreakWhenSee,aninda123,1-0,r4rkQ/1bq2p2/p3pBp1/2p5/1p6/P2P1R2/BPP3PP/R5K1 b - -,UTC,B23,https://www.chess.com/openings/Closed-Sicilian-Defense-2...a6-3.f4,2025.04.10,02:13:59,1562,1460,600,FreakWhenSee won by checkmate,02:13:59,2025.04.10,02:23:22,https://www.chess.com/game/live/137214956220,Closed Sicilian Defense,Closed Sicilian Defense,,Win,23,69.23,61.25,1,3,1,0,17,12,18,
Live Chess,Chess.com,2025.04.10,-,arikessler,FreakWhenSee,1-0,r3NQ1k/pp2B2p/2p3p1/4n3/P7/1P2R2P/5PPK/q7 b - -,UTC,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Variation-4...Bg7-5.Bc4-O-O,2025.04.10,01:56:28,1524,1556,600,arikessler won by checkmate,01:56:28,2025.04.10,02:12:52,https://www.chess.com/game/live/137214663844,Pirc Defense: Classical Variation,Pirc Defense,Classical Variation,Loss,27,81.27,67.98,3,2,1,4,18,17,20,19
Live Chess,Chess.com,2025.04.10,-,Ahmedbakr57,FreakWhenSee,1-0,r7/pp5R/6pk/2P2pN1/1P4nP/6N1/P5P1/6K1 b - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-2.Bc4-Nf6,2025.04.10,01:41:45,1589,1565,600,Ahmedbakr57 won by checkmate,01:41:45,2025.04.10,01:55:31,https://www.chess.com/game/live/137214416710,Pirc Defense,Pirc Defense,,Loss,35,83.37,91.9,2,6,0,6,32,8,,8
Live Chess,Chess.com,2025.04.09,-,FreakWhenSee,Kengsdom,1-0,8/8/8/8/4Q3/2B5/3P2P1/3k1RK1 b - -,UTC,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4-Nf6,2025.04.09,02:39:14,1573,1557,600,FreakWhenSee won by checkmate,02:39:14,2025.04.09,02:52:32,https://www.chess.com/game/live/137179722764,Vienna Game,Vienna Game,,Win,46,50.96,42.76,1,3,0,1,32,5,,33
Live Chess,Chess.com,2025.04.09,-,FreakWhenSee,DannishM,1-0,r1bqkbnr/4pppp/p1p5/2pp4/4PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,UTC,B23,https://www.chess.com/openings/Closed-Sicilian-Defense-Traditional-Line-3.Bb5,2025.04.09,02:35:52,1565,1569,600,FreakWhenSee won - game abandoned,02:35:52,2025.04.09,02:39:11,https://www.chess.com/game/live/137179664646,Closed Sicilian Defense: Traditional Line,Closed Sicilian Defense,Traditional Line,Win,6,77.51,75.9,0,0,0,0,,,,
Live Chess,Chess.com,2025.04.09,-,FreakWhenSee,hendrosarwoko,0-1,2k3r1/1bqpbpr1/pp2p3/2p1P1Pp/P1B1P1n1/2NPB3/1PP2RPQ/5RK1 w - -,UTC,B23,https://www.chess.com/openings/Closed-Sicilian-Defense,2025.04.09,02:27:02,1557,1582,600,hendrosarwoko won by resignation,02:27:02,2025.04.09,02:35:11,https://www.chess.com/game/live/137179513860,Closed Sicilian Defense,Closed Sicilian Defense,,Loss,18,85.08,84.88,0,0,0,2,,,,14
Live Chess,Chess.com,2025.04.09,-,FOULUFUNK,FreakWhenSee,0-1,qr4k1/p1p3bp/3p2p1/4p3/8/3QB3/PPP2P2/2K3R1 w - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line,2025.04.09,00:16:36,1528,1565,600,FreakWhenSee won by resignation,00:16:36,2025.04.09,00:20:15,https://www.chess.com/game/live/137177307716,Pirc Defense: Main Line,Pirc Defense,Main Line,Win,18,81.07,81.47,0,0,1,0,,,11,
Live Chess,Chess.com,2025.04.09,-,FreakWhenSee,AndrewDyj,0-1,6r1/1kp5/2p4P/2b1pR2/p3P2r/2PP1RN1/PP4PK/8 w - -,UTC,C30,https://www.chess.com/openings/Kings-Gambit-Declined-Classical-Variation-3.Nf3-d6-4.Nc3-Nf6-5.Bc4,2025.04.09,00:05:37,1558,1579,600,AndrewDyj won by checkmate,00:05:37,2025.04.09,00:15:07,https://www.chess.com/game/live/137177118096,King's Gambit Declined: Classical Variation,King's Gambit Declined,Classical Variation,Loss,33,69.47,62.53,0,2,1,2,,5,33,6
Live Chess,Chess.com,2025.04.09,-,FreakWhenSee,hlhig425,0-1,r2qk2r/1pp2pp1/p2p1n1p/2b1p3/2BnP1P1/P1NP1N2/1PP1QPP1/R1B2RK1 b kq -,UTC,C25,https://www.chess.com/openings/Vienna-Game,2025.04.09,00:01:42,1566,1583,600,hlhig425 won by resignation,00:01:42,2025.04.09,00:04:43,https://www.chess.com/game/live/137177049560,Vienna Game,Vienna Game,,Loss,10,75.2,76.59,0,0,0,1,,,,9
Live Chess,Chess.com,2025.04.08,-,NickNaveen,FreakWhenSee,1/2-1/2,2K5/8/8/8/8/4k3/8/8 b - -,UTC,A05,https://www.chess.com/openings/Reti-Opening-Kings-Indian-Attack-Symmetrical-Defense-3.b3-Bg7-4.Bb2-d6-5.Bg2,2025.04.08,02:32:17,1553,1574,600,Game drawn by insufficient material,02:32:17,2025.04.08,02:38:35,https://www.chess.com/game/live/137143923756,"Réti Opening: King's Indian Attack, Symmetrical Defense",Réti Opening,"King's Indian Attack, Symmetrical Defense",Draw,54,87.18,73.84,7,4,8,8,34,27,34,20
Live Chess,Chess.com,2025.04.08,-,sandymeranaam,FreakWhenSee,1-0,rnb1kb1r/pp2pp1p/2p3p1/4P3/5Bn1/2N4P/PPP2PP1/3RKBNR b Kkq -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-4.Bf4-c6,2025.04.08,02:29:06,1618,1575,600,sandymeranaam won by resignation,02:29:06,2025.04.08,02:30:01,https://www.chess.com/game/live/137143869390,Pirc Defense: Main Line,Pirc Defense,Main Line,Loss,8,83.09,91.07,0,1,0,0,,7,,
Live Chess,Chess.com,2025.04.08,-,FreakWhenSee,manzato,1-0,2k5/pp4rp/2p2p2/8/2B5/1P6/P5PP/5RK1 b - -,UTC,B10,https://www.chess.com/openings/Caro-Kann-Defense-Two-Knights-Attack,2025.04.08,02:16:21,1582,1559,600,FreakWhenSee won by resignation,02:16:21,2025.04.08,02:25:04,https://www.chess.com/game/live/137143647998,Caro-Kann Defense: Two Knights Attack,Caro-Kann Defense,Two Knights Attack,Win,27,65.05,89.08,1,3,1,1,15,5,15,16
Live Chess,Chess.com,2025.04.08,-,jformanek,FreakWhenSee,0-1,1r4k1/7p/2p1b1p1/4p3/4PbP1/8/pr6/K4R1R w - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-2.Nc3-Nf6-3.f4-g6,2025.04.08,02:03:28,1579,1574,600,FreakWhenSee won by resignation,02:03:28,2025.04.08,02:15:17,https://www.chess.com/game/live/137143424252,Pirc Defense,Pirc Defense,,Win,32,72.78,66.64,1,7,3,7,22,8,16,7
Live Chess,Chess.com,2025.04.07,-,LadHarjen,FreakWhenSee,1-0,1rR4k/1P5p/2p3p1/P5P1/8/1r2p2P/4R1K1/8 b - -,UTC,A41,https://www.chess.com/openings/Queens-Pawn-Opening-1...d6,2025.04.07,03:24:34,1580,1566,600,LadHarjen won by resignation,03:24:34,2025.04.07,03:41:03,https://www.chess.com/game/live/137108710050,Queen's Pawn Opening,Queen's Pawn Opening,,Loss,44,88.16,80.47,1,8,1,3,40,20,37,7
Live Chess,Chess.com,2025.04.07,-,DiomedesBrillantes,FreakWhenSee,0-1,8/5q2/K7/8/8/6p1/8/5k2 w - -,UTC,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Schlechter-Variation-5...O-O,2025.04.07,03:08:27,1537,1574,600,FreakWhenSee won by resignation,03:08:27,2025.04.07,03:23:38,https://www.chess.com/game/live/137108438048,"Pirc Defense: Classical, Schlechter Variation",Pirc Defense,"Classical, Schlechter Variation",Win,58,77.83,69.87,3,5,5,6,12,8,15,12
Live Chess,Chess.com,2025.04.07,-,FreakWhenSee,optilab1,0-1,r2qkb1r/ppp2ppp/2n3b1/4p3/6PN/1BP4P/P1PP1P2/R1BQK2R b KQkq -,UTC,B02,https://www.chess.com/openings/Alekhines-Defense-Scandinavian-Variation-3.exd5-Nxd5-4.Nf3,2025.04.07,03:05:14,1566,1559,600,optilab1 won by resignation,03:05:14,2025.04.07,03:07:49,https://www.chess.com/game/live/137108384212,Alekhine's Defense: Scandinavian Variation,Alekhine's Defense,Scandinavian Variation,Loss,10,76.91,66.43,0,1,1,1,,6,10,7
Live Chess,Chess.com,2025.04.07,-,alexp7979,FreakWhenSee,0-1,5r2/1p4kp/6p1/p2BNb2/8/P7/1Pn1p1PP/5RK1 w - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-Byrne-Variation-4...Bg7-5.e5-dxe5-6.dxe5,2025.04.07,00:54:37,1552,1575,600,FreakWhenSee won by resignation,00:54:37,2025.04.07,01:06:13,https://www.chess.com/game/live/137106191676,"Pirc Defense: Main Line, Byrne Variation",Pirc Defense,"Main Line, Byrne Variation",Win,32,72.5,73.88,1,3,0,6,25,17,,17
Live Chess,Chess.com,2025.04.06,-,FreakWhenSee,Malvavisco,1-0,8/8/pK6/1p3k2/8/1PB5/P7/8 b - -,UTC,B23,https://www.chess.com/openings/Closed-Sicilian-Defense-Grand-Prix-Attack-3...d6-4.Nf3-Nf6-5.Bb5,2025.04.06,20:18:49,1567,1559,600,FreakWhenSee won by resignation,20:18:49,2025.04.06,20:35:41,https://www.chess.com/game/live/137100345878,Closed Sicilian Defense: Grand Prix Attack,Closed Sicilian Defense,Grand Prix Attack,Win,52,81.78,72.38,6,8,6,6,23,17,25,12
Live Chess,Chess.com,2025.04.06,-,FreakWhenSee,via4ygul8b,0-1,4rr2/5ppk/2p1qn1p/pp6/4P3/P1N1R3/1PP1Q1P1/R6K b - -,UTC,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4,2025.04.06,16:05:38,1559,1579,600,via4ygul8b won by resignation,16:05:38,2025.04.06,16:14:44,https://www.chess.com/game/live/137092306524,Vienna Game,Vienna Game,,Loss,23,77.41,63.98,0,5,0,6,,8,,8
Live Chess,Chess.com,2025.04.06,-,Chinba123,FreakWhenSee,1-0,8/8/8/1k6/p1pK2p1/P1B3P1/8/8 b - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Harmonist-Variation-2...Nf6,2025.04.06,14:21:21,1597,1567,600,Chinba123 won by resignation,14:21:21,2025.04.06,14:35:16,https://www.chess.com/game/live/137088969310,Pirc Defense: Harmonist Variation,Pirc Defense,Harmonist Variation,Loss,46,76.13,87.01,5,11,4,6,17,4,8,9
Live Chess,Chess.com,2025.04.06,-,FreakWhenSee,karirochdi,0-1,3r3Q/p2k1p2/1p3p2/3q4/3P4/1B6/PP4PP/4r1K1 w - -,UTC,C00,https://www.chess.com/openings/French-Defense-Queens-Knight-Variation,2025.04.06,14:13:30,1575,1624,600,karirochdi won by resignation,14:13:30,2025.04.06,14:20:11,https://www.chess.com/game/live/137088729406,French Defense: Queen's Knight Variation,French Defense,Queen's Knight Variation,Loss,24,79.12,71.7,0,0,1,4,,,24,15
Live Chess,Chess.com,2025.04.06,-,Rmilao1987,FreakWhenSee,0-1,1r6/p4k1p/8/8/1bP1b3/6P1/P1K2P1P/3R4 w - -,UTC,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Variation-4...Bg7-5.Bg5-O-O,2025.04.06,03:36:51,1558,1582,600,FreakWhenSee won by resignation,03:36:51,2025.04.06,03:42:53,https://www.chess.com/game/live/137073744050,Pirc Defense: Classical Variation,Pirc Defense,Classical Variation,Win,29,78.04,87.71,1,4,3,5,14,8,13,16
Live Chess,Chess.com,2025.04.05,-,FreakWhenSee,bigbrainfriday,1-0,3r2r1/2k1b3/1p1p3p/2pB1p2/4P3/4Q3/2PB2PP/R5K1 w - -,UTC,B00,https://www.chess.com/openings/Nimzowitsch-Defense-2.Nc3,2025.04.05,03:42:19,1574,1554,600,FreakWhenSee won by resignation,03:42:19,2025.04.05,03:51:09,https://www.chess.com/game/live/137039482802,Nimzowitsch Defense,Nimzowitsch Defense,,Win,25,96.57,92.54,1,9,0,6,17,2,,10
Live Chess,Chess.com,2025.04.05,-,zahidrajpoot5,FreakWhenSee,1-0,R3r1k1/5p2/2Q4p/6p1/5R2/2pB3P/2P3PK/8 b - -,UTC,B08,https://www.chess.com/openings/Pirc-Defense-Classical-Variation-4...Bg7-5.Bg5-O-O,2025.04.05,00:04:56,1595,1566,600,zahidrajpoot5 won by resignation,00:04:56,2025.04.05,00:14:31,https://www.chess.com/game/live/137035824178,Pirc Defense: Classical Variation,Pirc Defense,Classical Variation,Loss,30,80.56,86.63,3,2,1,1,20,18,21,22
Live Chess,Chess.com,2025.04.04,-,FreakWhenSee,paulogiraldo1818,0-1,r4rk1/1ppq2pp/p1nbp2B/4p3/4Pn2/2NP1NQ1/PPP3PP/R4RK1 b - -,UTC,C25,https://www.chess.com/openings/Vienna-Game-2...d6-3.Bc4,2025.04.04,23:58:56,1574,1606,600,paulogiraldo1818 won by resignation,23:58:56,2025.04.05,00:03:39,https://www.chess.com/game/live/137035718376,Vienna Game,Vienna Game,,Loss,15,71.42,82.16,0,0,0,0,,,,
Live Chess,Chess.com,2025.04.04,-,FreakWhenSee,Jimdie,1-0,r2qr1k1/1p3p1p/1p3Rp1/2p5/4P3/2BP2Q1/PPP3PP/R5K1 b - -,UTC,C30,https://www.chess.com/openings/Kings-Gambit-Declined-Classical-Variation...4.Nc3-Nf6-5.Bc4-Nc6,2025.04.04,02:49:05,1582,1566,600,FreakWhenSee won by resignation,02:49:05,2025.04.04,02:53:34,https://www.chess.com/game/live/137003127898,King's Gambit Declined: Classical Variation,King's Gambit Declined,Classical Variation,Win,18,76.71,81.88,0,5,0,1,,4,,4
Live Chess,Chess.com,2025.04.04,-,tylerp000,FreakWhenSee,0-1,r4rk1/pp3pbp/n1p3p1/8/3P4/1B1K1P2/PPP2P1P/4R2R b - -,UTC,B07,https://www.chess.com/openings/Pirc-Defense-Main-Line-Kholmov-System-4...Bg7,2025.04.04,02:46:22,1554,1574,600,FreakWhenSee won by resignation,02:46:22,2025.04.04,02:47:59,https://www.chess.com/game/live/137003080970,"Pirc Defense: Main Line, Kholmov System",Pirc Defense,"Main Line, Kholmov System",Win,15,74.63,80.09,0,0,1,0,,,8,
Live Chess,Chess.com,2025.04.04,-,FreakWhenSee,Aley-01,1-0,4k3/4Q3/5K2/3B4/8/8/8/8 b - -,UTC,C28,https://www.chess.com/openings/Vienna-Game-Falkbeer-Vienna-Gambit,2025.04.04,02:29:51,1566,1553,600,FreakWhenSee won by checkmate,02:29:51,2025.04.04,02:43:41,https://www.chess.com/game/live/137002796898,"Vienna Game: Falkbeer, Vienna Gambit",Vienna Game,"Falkbeer, Vienna Gambit",Win,76,91.92,78.03,3,8,3,6,44,3,39,25
